COMM_NAME,COMM_CODE,COMM_WT,INDEX20122013,INDEX20132014,INDEX20142015,INDEX20152016,INDEX20162017,INDEX20172018,INDEX20182019,INDEX20192020,INDEX20202021,INDEX20212022,INDEX20222023
Bajra,1101010104,0.08637,120,133,129.6,133.8,155.1,139.1,150.4,193.7,161.2,167.9,213
Masur,1101010204,0.05299,115.5,132.9,153.9,188,176.9,135.4,122.9,139.8,160.3,192.5,200.3
b1. VEGETABLES,1101020100,1.87448,123.5,163.6,159.4,145.7,138,164,150.2,197,203.6,204.5,215
Sweet Potato,1101020102,0.02051,100.2,104.7,117.8,71,71,71,69.5,68.6,69.9,82.6,99.7
Tomato,1101020107,0.28446,116.5,160.5,160.6,173.6,131.6,222.5,151.1,249,257.7,269,291
Cauliflower,1101020108,0.16697,110.5,125.6,122.6,110.9,118.2,107.6,140.2,192,177.7,231.9,212.7
Brinjal,1101020109,0.24125,110.2,134.6,122.4,123,125.8,177.5,160,179.2,172.4,214.9,200.7
Drumstick,1101020120,0.01823,103.9,157.1,189.7,132.6,130.9,196,155.3,229.7,206.7,296.6,278.5
Apple,1101020203,0.07505,106.9,104.3,110,101,109.1,114.3,108.7,104.1,113.9,130.4,125.3
Litchi,1101020211,0.02955,141.2,138.5,164.7,169.8,186.2,163.4,129.8,131.7,127.5,126.7,218.2
Lemon,1101020212,0.06575,119.7,110.9,141,130.7,127.8,102.4,134.3,138,103.1,115,149.8
Sapota,1101020213,0.02814,115,111.9,115,103.8,107,115.8,149,162.9,147.7,164.5,216
Walnut,1101020220,0.02599,116,144.9,164.6,168.7,171.2,182.2,184.2,192.5,221.4,225.1,244.1
Milk,1101030001,4.43999,107.6,116,126.6,130.5,134.3,139.7,143.1,146.7,153.4,156.9,167.8
Turmeric,1101050003,0.10015,79.8,103,109.3,121.5,117.3,119.7,118.7,114,115.5,124,116.1
Betelnut/Arecanut,1101050006,0.08487,103.9,111,149.2,177.4,166.7,169.5,187.7,192.9,218.4,260.5,269.2
Tamarind,1101050010,0.00964,75.3,92.5,105.1,100.7,125.6,154.9,181.5,161.2,170.5,145.4,135
Tea,1101060001,0.12359,132.3,130.8,117.6,120.9,140.1,130.5,140.9,134.1,188.2,162,167.6
Coffee,1101060002,0.09879,97,88.3,112,106.6,99.5,98.2,94,96.7,102.5,119,151.5
